max_temperature,min_temperature,humidity,wind_speed,risk_level
41.0,31.2,39.3,5.6,2
43.4,38.8,82.5,2.2,2
35.5,25.8,35.3,12.6,0
25.7,17.3,65.5,13.6,0
30.5,25.2,76.7,0.2,0
45.1,40.7,43.8,3.9,2
48.9,41.6,26.5,2.4,2
46.2,41.0,76.5,18.2,2
38.4,36.2,46.5,13.8,1
45.7,40.7,80.3,14.4,2
42.6,33.0,36.0,7.2,2
27.0,18.9,27.1,6.9,0
40.9,33.8,45.9,5.2,2
31.7,29.2,65.4,15.2,0
29.3,25.1,31.4,9.5,0
49.7,44.9,59.0,17.1,2
46.1,42.3,36.0,0.8,2
32.9,25.0,34.8,23.6,0
46.9,39.4,65.9,9.9,2
47.9,41.5,38.5,6.2,2
39.0,31.1,60.9,22.4,1
35.0,26.7,89.8,12.7,0
27.3,17.6,27.7,15.7,0
44.8,38.2,24.4,9.5,2
49.9,44.1,88.0,21.5,2
25.3,21.1,67.7,13.4,0
31.7,26.8,27.8,10.9,0
36.3,34.0,81.3,6.6,1
37.5,28.9,83.9,21.8,1
32.5,27.6,62.6,3.8,0
44.1,38.4,74.5,13.3,2
25.0,17.6,21.4,23.2,0
47.0,43.6,41.5,1.4,2
47.0,44.5,26.0,12.1,2
26.7,22.8,73.6,3.2,0
36.9,31.3,38.6,21.8,0
35.6,27.3,57.8,18.2,0
30.0,22.5,89.7,16.2,0
36.0,30.1,28.5,5.6,0
33.5,28.2,36.1,5.5,0
26.8,21.8,36.0,22.6,0
46.5,37.1,36.7,16.7,2
30.4,21.4,85.5,14.3,0
36.8,33.1,76.5,4.8,1
27.4,20.9,49.7,11.7,0
43.2,38.6,88.9,2.5,2
35.1,27.8,80.3,6.2,0
29.8,23.3,49.5,7.0,0
31.2,28.6,51.0,21.5,0
38.8,29.2,89.9,20.9,1
49.2,46.6,79.4,4.2,2
37.1,28.9,48.1,1.5,0
34.5,32.4,38.6,19.6,0
36.4,29.8,87.0,24.9,1
38.9,34.6,30.8,7.4,1
49.2,43.9,58.0,18.7,2
26.4,21.1,55.2,21.3,0
28.9,26.6,25.6,4.6,0
39.9,35.3,36.5,3.0,1
47.3,39.2,61.6,15.5,2
35.5,30.2,56.6,23.4,0
30.1,25.8,36.7,9.9,0
41.8,34.2,42.1,18.8,2
26.8,20.5,89.9,24.9,0
26.8,18.5,38.6,23.3,0
47.0,44.1,45.9,3.9,2
45.8,41.5,62.8,24.7,2
41.3,31.4,77.2,7.5,2
41.6,39.1,29.4,2.9,2
27.7,22.1,39.1,15.1,0
42.9,34.6,64.4,6.6,2
37.2,34.5,79.2,2.3,1
35.6,27.8,20.2,19.3,0
40.9,33.0,71.9,13.8,2
35.7,25.8,25.3,22.1,0
47.6,42.0,78.4,14.6,2
28.7,19.7,41.6,22.5,0
44.9,41.8,82.9,5.3,2
31.2,22.1,74.6,22.1,0
35.2,30.1,30.8,23.2,0
46.6,44.4,76.8,22.0,2
25.6,21.5,43.3,23.3,0
45.1,42.0,76.8,6.7,2
44.7,35.5,81.1,21.5,2
30.6,27.1,52.2,7.6,0
44.9,36.7,21.7,4.8,2
33.2,30.1,87.7,7.0,0
41.0,34.2,88.7,13.4,2
48.5,39.4,87.9,4.5,2
49.1,41.2,27.6,10.9,2
43.2,35.7,62.4,12.8,2
34.6,29.2,37.8,17.7,0
25.0,22.4,57.7,18.0,0
43.5,38.9,45.5,1.7,2
41.6,34.2,42.0,21.2,2
43.0,35.4,41.6,10.2,2
35.1,27.4,28.9,10.5,0
48.5,43.9,83.2,15.4,2
32.5,26.9,20.0,7.2,0
35.7,30.4,65.8,11.6,0
36.1,27.8,53.1,22.5,0
44.9,36.3,25.9,12.9,2
40.8,33.5,77.3,18.8,2
41.8,33.6,33.9,0.6,2
31.1,24.9,79.5,1.8,0
35.4,30.4,33.6,17.4,0
